id,text,label
1,گورنر خیبر پختونخوا نے صوبے میں عام انتخابات کیلئے 16اپریل کی تاریخ تجویز کر دی,0
2,سیکرٹری کابینہ ڈویژن احمد نواز سکہیرا ریٹائر ہو گئے,0
3,صدر مملکت نے پارلیمنٹ کا مشترکہ اجلاس 8 فروری کو طلب کر لیا,0
4,پاکستان آئی ایم ایف مذاکرا ت شروع گردشی قرضہ کم کرنے کیلئے کمیٹی قائم پاکستان کی عالمی مالیاتی فنڈ کی شرائط پوری کرنیکی یقین دہانی عملدرآمد کیلئے وقت مانگ لیا ذرائع,0
5,وزیر اعظم نے وفاقی کابینہ کا اجلاس آج طلب کرلیا,0
6,حیدرآباد سکہر موٹروے کرپشن کیس گہر سے مزید 30 کروڑ روپے برآمد,0
7,میانوالی دہشت گردوں کا تہانے پر حملہ ناکام پولیس کی جوابی کارروائی ملزم فرار,0
8,رجسٹرار سپریم کورٹ نے نگراں وزیر اعلی پنجاب کیخلاف پی ٹی آئی کی درخواست پراعتراضات لگا دیے,0
9,یو اے ای کو پاکستان کے 5 سرکاری اداروں کے شیئرز خریدنے کی پیشکش,0
10,فیول ایڈجسٹمنٹ نیپرا نے بجلی 2.31روپے سستی کرنے کی منظوری دیدی,0
11,پی اے سی پشاور پولیس لائنز ریڈزون میں افغان مہاجرین کی موجودگی کا انکشاف,0
12,پشاور دہماکا ابتدائی رپورٹ وزیرِ اعظم کو پیش,0
13,فسطائیت ملک پر مسلط نہیں ہر کام آئین اور قانون کے مطابق ہوگا مریم اورنگزیب,0
14,دہشتگردی کے واقعات پر عمران خان سے جواب طلب کیا جائے بختاور بہٹو,0
15,مریم نواز آج سے ملک گیر تنظیمی دوروں کا آغاز کریں گی,0
16,درآمد و برآمد کا اختیار انتظامیہ کے پاس ہائیکورٹ از خود نوٹس کا اختیار استعمال نہیں کر سکتی سپریم کورٹ,0
17,بنگلا دیش آئی ایم ایف سے 4.7 ارب ڈالر قرضہ حاصل کرنے میں کامیاب,0
18,اسحاق ڈار کی مصروفیت کے باعث ای سی سی اجلاس منسوخ,0
19,توشہ خانہ کیس عمران خان پر فرد جرم عائد کرنے کیلئے 7فروری کی تاریخ مقرر,0
20,عمران خان کا پنجاب اورخیبرپختونخوا میں انتخابی امیدواروں کے نام فائنل کرنیکا فیصلہ,0
21,روپے کی قدر میں گراوٹ سے مہنگائی بڑہنے کا خدشہ فچ کی رپورٹ,0
22,محکمہ صحت کا میڈیکل ٹیمیں پشاور روانہ کرنے کا فیصلہ,0
23,اعظم کلاتہ مارکیٹ کے تاجروں کا اجلاس بم دہماکہ کے شہداء کیلئے فاتحہ خوانی,0
24,نظریاتی اہلسنت19فروری کو قوت و اتحاد کا مظاہرہ کرینگے اشرفجلالی,0
25,جماعت اسلامی کالبرٹی تاپنجاب اسمبلی تک یکجہتی کشمیر ریلی نکالنے کا اعلان,0
26,روزنامہ پاکستان کے انور کہرل کی ہمشیرہ ندیم مسیح کے والد کا انتقال,0
